latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
49.40075058888888,-119.5567254111111,510.243,22.98006,200,2020,526.460,0.492
49.400756055555554,-119.55672374166667,510.2219,22.98000,200,2020,526.439,0.565
49.400761358333334,-119.55672223333332,510.2282,22.97994,200,2020,526.445,0.672
49.40076657777778,-119.55672059444444,510.2328,22.97989,200,2020,526.450,0.567
49.400771988888884,-119.5567189388889,510.2441,22.97983,200,2020,526.461,0.595
49.400777452777774,-119.55671742222219,510.2308,22.97978,200,2020,526.448,0.410
49.400782755555554,-119.55671565833332,510.2295,22.97972,200,2020,526.446,-5.499
49.400788074999994,-119.55671393611111,510.2415,22.97967,200,2020,526.458,-5.531
49.400793505555555,-119.556712075,510.227,22.97961,200,2020,526.444,-5.529
49.40079891944444,-119.55671016666665,510.2283,22.97956,200,2020,526.445,-5.590
49.40080426666666,-119.55670830277778,510.247,22.97950,200,2020,526.464,-5.561
49.40080967777777,-119.55670628055556,510.2413,22.97944,200,2020,526.458,-5.552
49.40081511388888,-119.5567044361111,510.2419,22.97939,200,2020,526.459,-5.541
49.40082056111111,-119.55670245277776,510.2378,22.97933,200,2020,526.454,-5.548
49.400826375,-119.55670062499999,510.2015,22.97928,200,2020,526.418,-5.531
49.4008319,-119.55669864444444,510.2241,22.97922,200,2020,526.441,-5.561
49.40083784722221,-119.55669662777777,510.2271,22.97917,200,2020,526.444,-5.707
49.40084412499999,-119.5566946722222,510.2305,22.97911,200,2020,526.447,-94.336
49.400850591666675,-119.5566926472222,510.2078,22.97906,200,2020,526.424,-94.707
49.40085710555555,-119.5566907888889,510.231,22.97900,200,2020,526.448,-94.633
49.40086361388888,-119.55668897222222,510.2257,22.97894,200,2020,526.442,-94.802
49.40086948333333,-119.55668702499999,510.2197,22.97889,200,2020,526.436,-94.969
49.400874316666666,-119.55668544444444,510.2147,22.97883,200,2020,526.431,-95.021
49.40087780555556,-119.55668386944446,510.2425,22.97878,200,2020,526.459,-5.910
49.40088021666666,-119.55668225555556,510.246,22.97872,200,2020,526.462,-5.986
49.40088153055555,-119.55668078333333,510.2515,22.97867,200,2020,526.468,-6.023
49.40088239999999,-119.55667945000002,510.2537,22.97861,200,2020,526.470,-5.983
49.40088301111112,-119.55667786666665,510.2569,22.97856,200,2020,526.473,-5.996
49.400883633333315,-119.55667634999999,510.261,22.97850,200,2020,526.477,-6.057
49.400884302777776,-119.55667498333334,510.2789,22.97844,200,2020,526.495,-6.168
49.400884786111114,-119.55667411666667,510.281,22.97839,200,2020,526.497,-6.117
49.40088509722222,-119.55667383888887,510.3006,22.97833,200,2020,526.517,-6.080
49.40088528611111,-119.55667369999999,510.3161,22.97828,200,2020,526.533,-6.030
49.40088545555555,-119.55667360277778,510.3375,22.97822,200,2020,526.554,-5.979
49.4008856111111,-119.55667364444443,510.3595,22.97817,200,2020,526.576,-5.971
49.40088574444443,-119.55667371388887,510.369,22.97811,200,2020,526.585,-6.070
49.40088590555555,-119.5566737861111,510.3829,22.97806,200,2020,526.599,-6.117
49.40088605555555,-119.55667408611107,510.3926,22.97800,200,2020,526.609,-6.124
49.400886280555554,-119.55667426111111,510.4034,22.97794,200,2020,526.620,-6.209
49.4008864361111,-119.55667449444442,510.3991,22.97789,200,2020,526.616,-5.986
49.400886605555556,-119.55667464166669,510.3954,22.97783,200,2020,526.612,-5.933
49.40088667222222,-119.55667472222221,510.3844,22.97778,200,2020,526.601,-6.021
49.40088664722222,-119.55667458055554,510.408,22.97772,200,2020,526.624,-6.104
49.40088653055555,-119.55667436666668,510.402,22.97767,200,2020,526.618,-6.046
49.40088646388889,-119.55667412777775,510.3939,22.97761,200,2020,526.610,-5.964
49.400886369444436,-119.55667405833333,510.3988,22.97756,200,2020,526.615,-5.785
49.40088624722222,-119.55667401388887,510.4118,22.97750,200,2020,526.628,-5.661
49.400886130555556,-119.55667399722222,510.4012,22.97744,200,2020,526.618,-5.512
49.40088595555555,-119.55667383888887,510.3782,22.97739,200,2020,526.595,-5.468
49.40088582499999,-119.5566738361111,510.3816,22.97733,200,2020,526.598,-5.252
49.400885644444436,-119.55667379444444,510.3721,22.97728,200,2020,526.589,-5.132
49.40088552222221,-119.55667373055556,510.364,22.97722,200,2020,526.580,-5.085
49.40088531111112,-119.55667373333331,510.3388,22.97717,200,2020,526.555,-5.167
49.40088512222222,-119.55667373611111,510.3315,22.97711,200,2020,526.548,-5.129
49.40088493611111,-119.55667360833333,510.3161,22.97706,200,2020,526.533,-5.066
49.400884777777776,-119.5566734972222,510.2938,22.97700,200,2020,526.510,-5.162
49.4008847,-119.5566734888889,510.2791,22.97694,200,2020,526.496,-5.273
49.400884633333334,-119.5566734111111,510.2542,22.97689,200,2020,526.471,-5.407
49.40088463611111,-119.55667348055553,510.2303,22.97683,200,2020,526.447,-5.351
